SquareFeet,Bedrooms,Bathrooms,GarageSpaces,YearBuilt,LotSize,Neighborhood,IsRenovated,HasPool,HouseCondition,Price
1692,3,3,1,1970,3014.925411393452,Johnshire,1,0,1,3545720.722616596
4162,1,1,0,1958,3265.232289891099,Thomasville,1,0,9,4161220.2272748174
2105,1,2,2,2020,7163.07091366951,Port Vanessaburgh,0,1,5,7793468.57294371
3371,4,3,2,1976,7532.1755026200435,North Kristen,0,1,10,8427263.441896224
4008,3,3,2,1966,2948.4377180904685,Jacksonview,1,1,3,3939143.614799158
3161,4,1,2,2015,3159.909639198236,North Pamelaview,1,0,1,3868513.121782007
2792,5,3,2,1975,3910.5017456627465,Lake Jenniferberg,1,0,2,4586803.375844773
4129,2,3,1,2021,4898.601805217541,Danielmouth,0,0,8,5839711.2241106015
1153,1,3,1,1994,9257.237944602864,Lake Randallburgh,1,0,6,9658650.720999459
2900,5,1,2,2004,1238.570597319802,Port Olivia,1,1,9,1983515.120729458
2427,5,3,1,1989,6743.776462530568,Jamesfurt,0,0,4,7326348.760695163
4699,1,3,0,1965,8755.278399155604,Mooneyview,0,0,4,9833248.387930637
4926,1,2,0,1981,7510.272401449461,Sherrifurt,1,0,3,8711380.907805676
2289,3,2,1,1984,2950.6790781609116,Lake Jamesstad,0,1,10,3556497.758981055
1314,4,3,2,2013,5290.719889197735,North Stevenport,1,1,7,5686750.748972024
4786,5,1,2,2013,9192.525207428936,Port Amber,0,0,1,10274305.7533218
2064,3,3,0,1964,2041.457188261791,Gonzalesfort,0,1,1,2706638.2070059697
1104,3,1,1,1991,9887.600641250972,Davidborough,1,1,10,10305025.736675015
2924,5,2,0,1999,2292.6130876566704,Ericside,1,0,4,3013741.7080376595
2913,5,2,1,1981,2281.757891771854,Batesshire,0,1,3,3036032.4284677706
2216,2,3,2,1979,8315.733860033548,South Joannaport,1,1,1,8978558.902150499
2424,4,1,0,1973,8455.118664648848,Spenceville,1,0,8,9140992.009688847
4349,5,1,1,2015,1341.2679042636123,Smithside,1,1,4,2380336.5800771913
3401,1,1,2,1970,2514.748655286609,Smithhaven,0,1,3,3334410.013012625
4063,2,3,1,1991,9536.74888301086,Angelaview,0,1,1,10527426.776272118
2772,4,1,2,2007,3514.107388694613,Simsland,1,1,3,4243224.2184907
2960,1,2,1,1951,1110.156986520038,Lake Karenmouth,1,0,3,1823269.3021628612
3780,1,1,0,1965,3286.378904844255,Moralesburgh,0,1,2,4187603.0018662666
2603,4,1,1,1956,7618.893068619092,Cynthiachester,1,0,1,8276101.361187901
1708,2,3,0,2004,9248.080412627545,Perrystad,0,1,5,9671874.81084269
4327,1,3,0,1964,2396.4092670519694,Christophermouth,0,0,1,3379399.544800944
1650,3,3,0,1972,3019.7243786654267,Wadeside,0,0,3,3533072.6927668136
3871,4,3,2,2018,4973.781737740049,West Amanda,1,1,5,5890820.152053087
1946,4,3,0,1950,7734.721171608322,Andersonville,0,1,1,8455376.482949032
1660,5,1,0,2018,6928.27319848203,Johnsonmouth,1,0,8,7442142.819865611
3146,2,1,0,1962,3947.8022290542967,East Ronnieville,0,1,1,4648767.920664651
3635,3,3,2,1975,1597.1663724628288,Christopherchester,0,1,9,2431996.3941076645
3329,3,3,1,2001,3276.6458192309037,New Virginia,0,0,8,4120237.472632039
4954,5,1,2,1962,2976.0705669366193,Ashleymouth,1,1,5,4137111.2634354862
3450,1,3,2,2004,1189.4838676669413,Port April,0,0,2,1969054.4118104817
2132,1,2,1,1978,9775.359788873157,West Sarahport,0,0,10,10284658.013905501
1699,3,1,1,1967,3298.3437820901186,Marthachester,1,0,9,3764986.437575551
3246,2,2,0,1951,8528.815425345416,Lopeztown,1,1,6,9355454.965995539
4374,1,1,0,1976,5363.754448060419,West Jared,1,0,3,6396521.702299609
3038,4,1,1,1999,9750.616812158565,North Matthewbury,1,1,3,10508565.269681195
3374,5,1,1,1991,2345.978088582085,Leeport,0,0,1,3102218.8448925614
3201,2,1,2,2016,1996.0584484560195,West Frank,1,0,3,2780969.5898930696
1551,1,1,2,1959,1022.1663204122979,Collinsview,1,0,9,1595108.870403479
4716,3,1,2,1958,7466.023800879512,New Saraside,1,0,6,8608381.435264537
1404,5,1,1,1952,3757.3864305077777,Lake Toddland,1,0,3,4235597.142763421
1461,1,3,0,1987,8833.194528702847,Lake Theresa,1,0,1,9227492.451597085
3179,3,3,2,2019,6704.243669323868,Port Jeffrey,0,0,1,7468016.407700116
3838,1,3,2,2018,6196.88699818085,South Kristen,1,0,6,7135746.269886512
1873,5,2,1,1979,5382.023830545067,Port James,1,1,10,5948109.477281371
1083,4,1,2,1963,3323.562805760123,Joneston,0,0,8,3754761.6381776724
2422,4,3,1,1951,1582.1967813296412,North Elizabethville,1,0,10,2300372.2425575308
3801,3,3,0,1957,4992.1118069712375,Michaelberg,1,1,6,5967756.053091394
3675,4,3,2,1967,1892.0768678674006,Lake Kevin,1,0,1,2743737.8296121825
4180,5,1,2,2020,9151.580188858365,Bobbystad,1,0,2,10193703.446521008
1220,3,1,2,1962,8463.96206563009,Lake Jessica,0,0,2,8886215.731096823
4975,1,2,1,1995,6577.851605266266,West Lisa,0,1,7,7773167.548467713
3600,2,2,1,2003,5071.957236709749,South Ronnie,0,1,6,5991020.461834601
2391,1,1,0,1961,5087.758617681269,New Matthew,1,1,4,5752249.71871954
4218,5,2,1,1989,5180.6356930952215,Dianaville,0,0,2,6141831.251611472
1111,3,3,2,1987,7709.16820576118,New Alyssashire,1,1,10,8099255.946778044
1614,1,2,2,1961,2135.845574165981,Johnsonville,1,0,2,2669124.9937552963
2581,3,3,1,2016,5781.662045329701,Edwinchester,1,0,2,6445797.395611275
3971,4,2,0,1974,8313.999952287266,North John,1,1,6,9270838.860960811
4565,2,3,1,1984,5591.132887620233,Jenniferville,0,0,6,6616998.400007948
4576,5,2,1,1965,1123.6710869667174,New Benjamin,1,0,7,2205740.4687700397
1474,1,2,2,1994,3202.21534544067,South Patriciachester,1,1,2,3731349.0540134707
3883,2,1,2,1962,7017.261780817232,Tammyville,0,0,9,7926671.5353990905
2913,5,1,2,1973,9407.796174936508,Port Elizabeth,1,1,3,10185909.411298156
1270,5,3,1,1951,9043.73276381628,Vancetown,1,1,9,9444207.415509129
3468,4,1,1,1959,8404.344275710613,Andreamouth,1,1,6,9294430.618183685
2920,3,3,0,1968,9551.477469597321,Taylorville,0,1,7,10353796.536934227
3754,3,1,2,1973,3519.260699217689,Port Robertshire,1,0,9,4390517.940462997
2390,2,1,0,2010,1111.5791116041967,Johnsonchester,0,1,2,1754117.0645017917
4351,4,3,2,1954,4189.371362904313,East Maria,0,0,10,5238650.327684749
4354,5,2,0,1983,6193.099017342378,East Richard,0,0,8,7211272.884894862
1039,4,3,2,2013,3848.19400129333,East Christineshire,0,0,3,4296059.889541058
2982,4,3,1,1961,1397.8338269126061,North Carolshire,0,1,2,2194865.9802593742
3236,2,3,2,2008,5564.682923650333,North Haleychester,0,1,8,6357711.922441984
4235,3,1,0,1970,2797.267248880252,Lake Michaelmouth,1,0,1,3821213.2974560154
1993,4,1,0,1996,7548.141494255494,New Justinfurt,1,1,2,8097163.95229934
3012,4,1,2,2002,1802.8141880195487,Masonland,0,1,4,2629478.794553971
4607,4,3,1,1988,9623.132020540934,Thomaschester,0,0,8,10680624.788377741
3583,1,2,2,1980,8890.124311989006,East Nicholasside,1,0,5,9783773.395416854
4075,4,2,1,1995,8864.687356555034,New Ericton,1,1,1,9886576.30522618
4906,4,3,2,2006,8109.015748781742,South Donaldburgh,1,1,10,9220348.811763624
1289,5,3,1,1986,6702.3036321325035,Lake Brian,1,0,9,7123108.511076845
3480,1,2,2,1976,1480.8613537865106,Norrisbury,0,1,6,2322357.142095545
3518,4,1,2,1978,6961.832995964101,New Nicholasstad,1,0,2,7912141.000447664
4252,4,3,1,1967,7722.345535113174,Lake Billy,1,0,7,8739122.375139063
4319,2,2,1,1953,2177.379239096943,Marvinland,0,0,1,3235841.4378070966
3675,2,2,2,1950,6541.8042295640125,South Dale,1,0,1,7496404.7578678625
1278,1,2,0,1973,5309.807267814172,North Patricia,1,1,9,5688005.422351387
3924,5,1,1,1991,5251.97388087999,East Sergio,1,0,3,6193931.48634125
1580,1,2,0,2009,2795.1601016649442,Port Lisahaven,0,1,8,3210254.676137724
1862,1,2,0,1973,7654.9436703648935,Ashleyburgh,0,0,5,8153992.4606301775
1253,2,2,0,2005,9326.121948501883,Lake Michaelchester,1,0,2,9759975.599045953
1180,2,3,0,2018,8090.229846250524,Reyesside,1,0,2,8485041.447045324
4901,5,3,2,1967,4321.29000535653,West Gerald,0,0,5,5541452.954107983
1680,4,3,1,2014,9857.595794903806,Justinshire,1,1,2,10289325.28401108
1824,5,2,2,1959,4277.532753612396,Bryantown,0,1,3,4824600.9619260905
4580,4,2,2,1966,3109.8147685100967,West Candace,1,0,10,4206898.983375395
4832,3,1,2,2007,9712.761750397325,West Martha,1,0,9,10867238.017707052
1699,2,2,2,1984,8108.348814861866,South Katieland,1,0,6,8605831.429415047
3613,3,1,2,1953,7851.197273801156,South Stephen,0,1,9,8847923.854438331
2349,3,2,1,1993,1696.8874906632868,East Emily,1,1,7,2339187.0721386815
2380,2,1,2,2016,2728.2124560152433,Andersontown,0,0,1,3324015.784567209
4896,3,3,2,1977,1166.6616536563226,Andrewmouth,1,0,2,2341619.266949634
2673,1,2,2,1960,7989.842604197232,Brianhaven,1,1,9,8747480.642923158
3727,4,1,0,1952,3504.1866516323817,West Richard,1,0,3,4427026.741328404
3438,5,3,2,1952,2190.014429140865,Javiertown,1,0,8,3110173.1578794327
2638,2,3,1,1974,2637.0208326915317,East Philip,1,0,7,3363235.4861720074
2957,1,2,1,1961,6770.187492256623,Philipstad,0,1,6,7441566.931512981
4156,5,1,1,1998,4897.4562171219395,Taylorchester,1,0,10,5930189.629364182
4388,5,1,0,2005,9472.567503195589,Colemanhaven,0,0,8,10454520.843561692
1211,5,1,1,2002,4293.024555982468,Port Katie,0,0,8,4615591.719558706
2538,3,3,0,1959,8504.868978212406,West Manuel,1,1,10,9173726.4332263
1383,3,1,1,1968,5918.185103608672,New Jeanside,1,1,8,6391627.291264728
2714,3,3,0,1996,7348.127447731945,Lauraville,1,1,1,8006533.965710865
1341,3,1,1,2003,2517.946853707376,North Donna,0,1,7,2863646.905341482
2838,1,3,2,1956,7740.8607345130595,North Jessicaberg,1,0,8,8516049.045822298
2987,3,2,1,1988,1770.8982313916388,Port Melissa,1,1,2,2486894.908826769
1843,2,3,1,1981,7220.092509326836,East Angelastad,0,1,4,7769708.562757551
4109,5,1,1,1972,5189.658388497271,New Michael,1,0,6,6164727.905762943
2534,1,3,2,1999,3056.735259572918,Port Dianaside,0,1,4,3797064.470226855
1419,3,1,0,1968,5323.484147241602,South Tammy,1,1,2,5749555.651149591
3798,5,2,0,2016,8701.103165284538,New Carolyn,1,1,2,9707798.553833084
4240,1,3,2,1974,2392.4726027598026,New Aliceland,0,1,2,3351284.2288402375
2988,5,2,2,1974,2526.637750869255,North Gina,1,0,2,3309350.8991464833
2932,1,3,0,1955,5805.975210656563,Barnesburgh,1,0,7,6556296.129813717
4414,4,3,0,1964,6627.290952806388,North Randy,0,1,9,7691776.623690866
2849,1,2,0,2012,4781.79794861415,West Robertton,1,1,10,5428628.794255936
1305,3,2,0,1969,3397.5333831386533,Barnesfort,0,1,9,3827990.8045541635
4613,5,3,0,1992,1604.7287072053507,Kristinestad,1,1,6,2727268.716154291
3749,5,3,2,2016,1448.1381608415538,Romerochester,0,1,10,2418432.395970581
1868,5,3,0,1953,1367.380926773036,Christopherport,0,1,3,1913218.46754445
3584,2,2,0,1955,9111.547300287131,North Heather,0,0,7,9978200.838413863
2135,2,1,1,2008,2182.214401047465,Lewismouth,0,0,8,2726877.471962733
2434,3,2,2,2001,3656.1111468080608,Lisaberg,0,1,9,4298903.042950744
1205,4,3,2,1968,9873.030572360856,West Christophermouth,1,1,4,10316221.503313929
4256,2,3,0,1975,9347.272700460477,Lake Williambury,0,0,5,10316849.144103494
4453,1,2,1,1997,1385.7572206204127,Danielleport,1,0,1,2478142.9722272553
1495,3,3,1,2004,5961.372292078048,Kellyborough,1,0,5,6409142.91364949
4450,4,3,0,2008,6701.486441455303,East Stevenville,1,1,10,7788954.266760117
4118,1,3,1,1987,1487.0271379138703,West Jason,1,1,7,2526700.9207101623
2909,5,3,0,1954,7553.13512327637,Lake Lisa,0,1,2,8287271.505974067
4811,2,3,2,1991,9890.82988951223,South Sheilaton,1,1,5,11044858.905859036
4622,1,1,1,1984,4864.416180273577,Xaviertown,0,0,9,5920196.426883896
4599,4,2,0,2018,5044.7579251345305,Evanschester,1,0,3,6128285.385546035
3551,3,2,0,1952,6934.121963052574,Cruzborough,0,1,2,7748332.8928888
2045,1,2,0,1990,7628.878498423066,West Melissaton,1,0,5,8132122.309868049
1212,3,1,2,1981,8107.951007060664,Martinezhaven,1,0,9,8504601.00817367
1309,5,1,1,1985,1698.2185807992712,Pearsonmouth,1,1,10,2125342.5902002044
3708,4,2,2,1979,8206.199993475722,Mitchelltown,1,1,4,9110499.967671359
2991,4,2,2,1988,8776.665570438829,Lambview,1,1,1,9518581.318658378
3800,2,2,1,2009,1407.0451968008736,South George,1,0,6,2254375.810378671
1271,4,3,2,2005,1352.214983471241,Scottfurt,1,0,9,1763619.264855749
4642,1,1,0,2007,5958.014366790913,New Johnmouth,0,1,4,7071783.971146737
2822,1,1,1,1975,5471.259494042151,Jacobsonmouth,1,0,9,6259745.327235615
3985,1,3,2,1954,9820.87028882618,West Brent,0,1,7,10754186.769305121
4273,5,1,1,2005,3649.6135152446495,Fischerchester,1,1,1,4747903.176262545
3079,4,2,2,1982,6311.799816461047,Andersonstad,0,1,6,7081087.521216834
1442,4,1,0,1958,5560.0592829564175,Port Aaron,1,0,2,6019721.978542346
3209,1,3,2,1981,5821.5999225294,Lake Kelli,1,0,8,6714618.871447607
3814,2,2,1,1977,6937.014835217832,North Raymondville,0,0,7,7836777.228853218
1253,2,1,2,1972,5838.354915940823,Hopkinsland,1,1,7,6233260.852675636
1520,4,2,0,2018,1062.500974740433,Stephensonview,0,1,4,1507179.5518177804
1976,4,1,0,2011,8593.39240710116,Hayesmouth,1,0,1,9129687.49448386
4722,3,2,0,1997,2810.3896687201463,South Austin,1,0,7,3846193.288459707
4551,4,3,2,2015,3080.3914865579695,South Jeffrey,0,1,5,4159584.523137238
1009,1,3,1,2011,6831.754863896525,Leborough,0,1,5,7181530.479476972
3773,5,1,2,2018,5299.764899138819,Port Amberfurt,0,0,9,6247502.456466251
3552,4,1,2,2005,6170.319641838297,Walshbury,0,0,3,7054660.998920491
3832,4,2,2,1985,5477.490437791942,Beckchester,0,1,5,6436475.493505978
4907,1,3,1,1985,4760.763663106035,Brucemouth,0,0,10,5807172.3858989235
2583,3,2,0,2005,5349.722242466708,West Beverly,0,0,2,5955820.033233517
3483,4,3,0,1956,2269.768692097232,New Billy,1,0,5,3131751.8313669176
2134,2,2,0,1981,9723.75202898269,New Leroytown,1,0,5,10315614.081435686
1152,2,2,1,1950,6172.7658820952,Brownview,1,1,2,6644143.716864728
2658,2,2,2,2007,3581.352878382623,Smithville,0,0,9,4233986.480266003
3964,5,1,2,1969,7415.562382608045,Andersonview,1,0,3,8444696.181357354
3916,5,3,2,1983,8920.955056491039,Port Omarberg,0,0,1,9886144.162744831
4173,4,1,1,2000,3668.2088799792446,Caitlynchester,0,1,4,4678491.925333058
3800,4,1,2,1985,3920.6042311547794,South Jessicaborough,1,1,4,4811924.015257617
2856,4,2,1,1975,4946.938349036326,Patelton,1,1,5,5732597.74998484
2214,5,3,0,1982,2955.6079460341157,Port Jackson,0,0,3,3580008.5399689497
2752,4,1,0,1950,8288.09539164092,Lake Robert,1,0,8,9041464.79959189
3610,1,2,1,2016,6257.590073493231,Brittanyton,1,0,7,7089367.542796985
4875,3,3,0,1999,1513.4005547439438,New Shawnland,1,0,1,2627316.440126564
2104,2,3,1,1984,9970.336688558948,Lake Jamesside,0,0,1,10540123.756416319
3536,2,1,2,1984,6174.743555475634,Levyborough,0,1,8,7001903.959071957
1894,1,2,0,2008,9009.42696119519,Jeffreyburgh,1,1,5,9527612.641572759
2111,4,1,0,1962,5514.563496505893,Hawkinsshire,1,1,2,6187253.574622434
4265,5,3,2,1971,6242.045489566982,New Sandratown,0,0,8,7281755.437430749
1103,4,1,2,2005,5090.277247470289,Simmonsbury,1,1,8,5482935.295747239
4854,4,2,1,1954,4804.846601233938,Jaimeberg,1,0,7,6047670.571329374
4167,2,3,0,1992,2964.7399803915496,Hammondmouth,0,0,7,3890744.1244165753
4494,2,2,2,2004,9659.118264102277,Hullbury,0,1,10,10762068.347983014
2914,5,2,0,1964,2635.941192617274,Williamview,1,1,2,3382704.668207461
4269,2,3,0,1991,5737.6385091056445,Johnsonport,0,1,10,6733736.537226974
4072,4,2,0,1958,1783.8716134331817,Lake Kimport,1,0,4,2810839.8056770093
2006,1,2,0,2020,9940.392128233807,East Kathyport,0,0,9,10406258.71065097
1406,5,2,1,2006,6001.087538843271,Martinezton,0,0,9,6279268.279482721
2401,1,3,2,1959,8331.249069224976,New Lindsaystad,1,1,2,9036026.559585273
1166,4,2,0,2013,6066.359684898617,Norriston,1,0,10,6460915.20883842
1508,5,1,2,1990,8244.86697846744,Port Joshua,1,0,2,8656575.051688015
2661,1,1,2,1962,5809.689337664473,Port Tracyburgh,0,1,2,6481869.804202089
3360,5,2,1,1965,5004.769308563953,Lake Beverlyburgh,1,0,5,5909408.494619478
4664,4,1,1,2021,5103.152187854714,Howardland,0,0,8,6077627.99826443
4489,5,1,0,2009,1021.0918586192788,Lake Shannon,1,1,3,2082831.0016409468
1762,4,3,0,1980,4335.894557063992,Port Williamton,1,1,9,4787955.399065531
1680,5,2,1,2004,9567.49649881171,Browntown,1,1,1,10162580.164984396
3524,5,3,2,2020,7080.191585049872,East Zacharyburgh,1,0,5,7940909.664264112
3120,2,2,2,1983,9273.8710265725,South Joseph,1,1,8,9993541.490988517
2164,4,1,1,1953,2802.3631283197324,Powelltown,1,1,2,3478393.006526721
1581,3,3,0,2004,5420.4422374875285,Johnport,0,1,6,5968539.590231803
1261,5,3,0,2015,1310.3373737686125,Parkershire,1,0,3,1807559.564088032
2363,1,1,0,2008,7093.469367234163,Thomasbury,1,1,9,7629585.734738681
2331,2,1,1,1990,8056.146412080319,Guerraview,0,1,7,8534823.393722286
3292,2,2,1,2015,7730.212520903854,Morrisborough,0,1,9,8422301.333673403
2538,5,2,2,1996,1780.9299363808734,South Karen,1,1,6,2478842.93392807
4408,3,1,1,1976,3227.7489095694746,Francisland,0,0,9,4278171.108710807
4646,2,1,0,1970,6902.446301943617,Ramseyview,0,0,2,7873253.366069082
1560,4,3,2,1960,7830.919908011328,Lake Kevin,0,0,10,8371582.825257043
2099,5,3,0,1971,3467.8949052777707,Port Stephaniemouth,1,1,2,4047096.449466924
2903,5,2,0,1972,4656.1693994303,North Catherineland,0,0,4,5373174.9540671315
1174,3,3,2,2014,4161.394698540815,Kathrynhaven,1,1,5,4585689.103099502
3156,4,1,0,2008,1041.0843088248794,Lorrainemouth,1,0,10,1866569.4355935326
3230,4,1,2,2019,6188.617957976514,New Ann,0,1,9,6990904.5842419835
1191,3,1,0,1977,7022.01488969019,East Stephanie,1,0,2,7451578.881192223
1064,1,1,0,1974,3487.9213772356625,Allenhaven,0,0,8,3739249.290012362
4920,4,2,2,1950,7190.060718635101,Grahamborough,0,0,5,8382546.334289867
4010,1,1,0,1981,3184.7392000470286,Moralesfurt,1,1,9,4108245.455222036
2497,1,1,0,1978,7439.773528000324,Dunlapburgh,1,0,5,8083513.711669079
4854,5,1,2,1969,5114.686800784746,Mitchellchester,1,0,2,6216049.074709457
4171,5,1,2,1995,8847.414068984977,Lisaberg,1,0,8,9812912.957080344
2567,2,2,2,2006,5902.609828647222,Mccarthyton,1,0,1,6473448.51107087
3911,5,2,1,1961,2661.8759953980066,Luisville,0,1,3,3599828.9312232235
2151,4,3,0,2021,8398.10148483554,Craigstad,1,0,4,9027671.535253195
4523,4,2,2,1988,7999.106506723205,Reginaburgh,1,1,10,9106142.495188013
2937,1,2,0,1957,1758.0536322448409,East Justin,1,1,7,2482378.528706358
1368,4,2,2,1977,1432.3662330977409,East Reginaldview,1,1,3,1912240.5340163421
1850,5,3,0,1980,2226.619373055461,Loriberg,1,1,1,2764041.3799310187
1042,5,1,0,1964,8607.83555072913,North Jacobside,1,1,4,8979283.201129543
2907,5,3,2,2009,3883.4430014933496,Port Jose,0,0,8,4691094.331009158
4490,3,1,2,1988,5542.762893752467,South Elijah,1,1,2,6585419.252064048
3535,4,2,1,1970,6426.697594524575,East Jeff,1,1,7,7312051.3701436585
1077,2,1,2,1957,7691.332887108822,New Rachelhaven,0,0,2,8021309.84897736
3873,4,3,2,1991,8469.597827795993,Graymouth,1,1,1,9433038.661987722
2824,4,1,2,2008,5642.78961717923,Lindatown,1,0,9,6313942.586474987
2293,3,1,1,1969,4741.836490362932,East Matthewport,1,1,10,5386088.8231884865
1673,4,2,0,2010,2763.476071998603,Port Davidview,1,0,3,3239290.8816689146
1700,1,1,1,1960,6467.683201556479,East Kara,1,1,6,6997896.08897184
1758,5,1,0,1981,5948.893534027253,Lake Jamesmouth,0,0,2,6488593.638091653
2923,5,2,2,1953,3620.4431891087597,Amandachester,0,1,9,4491313.712773774
3775,3,3,2,1978,5015.831319916756,North Robert,0,1,2,5920866.181082233
4386,5,2,2,1954,7656.8592288574,New Jacquelineberg,0,0,5,8755212.94657339
3972,1,1,1,1988,6643.720279621944,Lake Marie,1,0,5,7541502.424200201
4922,3,2,1,1972,5335.66665342229,Jordanside,0,1,10,6589222.239098811
1901,2,2,2,1965,3450.8480376495277,Buckleybury,0,0,6,3982316.84629971
3936,5,1,1,1999,7012.038871112407,Greeneton,1,1,5,7993533.921693327
1992,4,3,2,1960,6648.921869330381,Muellermouth,1,0,8,7145045.889665155
2191,1,2,1,2021,5124.102003878706,North Katie,0,1,9,5689725.77368498
3386,1,3,2,1997,3146.716429223433,Melissamouth,1,1,9,3982039.4415742867
3240,5,2,1,1983,2573.8885087519557,Gordonberg,0,0,7,3279767.532165896
2476,2,1,0,1970,4054.5954527686677,Hopkinsbury,1,0,2,4683352.272799052
3330,4,1,2,2012,9178.433776675643,Amandaland,1,1,3,10003657.60198796
4407,2,2,1,1966,7784.979309965999,Alanville,1,1,5,8787331.028801937
1389,2,2,1,1983,9019.628149897173,Bonniechester,1,0,2,9471916.56911619
1999,5,2,2,2000,8583.390864255896,East Jasmineport,1,0,8,9133791.713278202
1524,4,1,1,2016,5129.9430868474265,Port Aaron,0,1,4,5508797.718321771
4311,5,2,0,1973,5773.982397912878,Dawnborough,0,1,7,6810829.433527861
2855,5,1,0,1971,2526.274629436886,Johnstonmouth,1,0,5,3353356.5104666594
2506,1,2,1,1959,7487.8493644032715,Lake Jade,1,0,9,8233054.856312491
1658,5,1,2,1954,4797.539446503173,North Jenniferberg,1,0,10,5343172.358988239
3763,3,2,1,1980,2451.4212334226054,Kevinberg,0,0,3,3317522.699321942
4663,4,3,1,1973,1858.1932007665905,Richardside,0,1,4,2882645.079053325
1890,1,3,0,1960,7265.213288693053,West Timothy,1,0,6,7816057.283258439
4626,4,1,1,2000,5339.8267582317985,Vasquezport,0,1,7,6405950.448849912
2481,1,2,2,1997,1080.9585310493828,Mullinsberg,1,0,8,1821118.0741738188
4160,3,3,0,1953,8420.640420336593,East Juan,0,1,8,9414574.011066172
4731,5,2,1,1957,6575.160034786676,Amandachester,1,0,1,7713357.78628001
4166,1,2,2,1956,1345.387621578565,Cortezhaven,0,1,6,2469424.8213335928
1451,1,2,0,1981,3742.163490824042,Lake Crystalberg,0,1,1,4172968.104191783
3475,1,3,2,1971,7501.651121267701,Lake Nicholasberg,1,1,1,8419768.203973748
4222,3,1,2,1985,1531.2676535837572,Gonzalezstad,0,0,4,2504673.959647688
2537,4,3,2,1978,7626.273031190965,Christinahaven,0,1,9,8327111.528574325
4447,3,1,1,2017,5544.057079958728,Calhounberg,0,1,10,6538043.107273792
4093,1,3,0,2010,8045.716628490829,New Chadberg,0,0,2,9087179.740291545
1882,1,2,1,2002,8697.132439462386,Hollybury,1,1,4,9189941.524799472
1312,5,2,0,2021,7909.826059649529,South Dylanchester,0,0,6,8314707.567493818
1839,3,2,2,1964,1702.67423668615,Markmouth,1,0,8,2268409.37406761
3566,3,3,2,1997,5143.361447537669,Nortonland,0,0,2,6039735.905022961
4277,2,3,1,2003,3868.62038734604,East Kelly,0,1,1,4795747.182537775
1374,4,1,2,2017,5576.431750563049,Loriport,0,1,3,6042074.302366527
1450,2,3,2,2018,9692.217433407433,New Karen,1,0,1,10169708.301890759
4697,2,1,2,2013,2119.56582214528,Leonberg,1,0,10,3137209.543113374
4855,4,3,0,2015,8790.38477763107,North Ruben,1,1,1,9833862.639724823
4062,5,2,0,1999,9917.67819361766,Blaketon,1,1,5,10838653.200041223
1594,5,3,1,2021,9910.19780686728,Jonesburgh,0,1,10,10404371.38790244
4250,4,2,0,1996,8170.2035819809225,Armstrongland,1,1,9,9279646.596464956
2233,4,3,2,2017,5190.224294267458,East Kathleenland,0,1,7,5833433.671377042
1499,3,1,2,1962,2602.005586954052,North Mary,1,0,5,3091967.7265408644
1463,3,3,2,1963,6473.917681546668,Daleberg,1,0,4,6924027.642539391
4911,3,2,1,1958,6493.35406834295,South Joseborough,0,0,5,7631194.349153006
4195,3,3,2,1977,3847.910803589294,Sanchezton,0,1,5,4912603.746653346
1112,1,1,2,1987,6551.399949570553,West Timothymouth,1,1,5,7005263.017816218
2035,1,1,1,1961,2048.9246155756,West Steven,1,1,2,2691125.7952574748
4197,5,1,0,1962,6706.0757615777175,Nicholasside,0,0,7,7683262.246617587
4636,1,1,0,1970,9070.501447122235,Hallton,0,0,8,10194915.040058885
3378,1,3,0,2004,5248.587824558241,Wrightmouth,0,1,5,6031815.726633826
2924,3,1,1,1987,7881.066782598313,Lake Jonathan,0,1,2,8636308.223078394
4354,3,3,1,2001,6720.765093149522,New Holly,0,0,8,7786652.446062913
1139,4,3,2,1975,1027.5771321686216,Lake Roberthaven,1,0,7,1439971.6129739021
2424,3,3,2,1971,2097.9858192908214,South Ruthville,0,0,4,2745816.968969287
3949,4,1,1,2000,7973.518452398181,New Stacy,0,0,8,8960109.687019076
4168,4,1,1,2021,1364.0763457608118,South Kaylaside,0,0,7,2365251.2377205533
1516,1,3,2,1986,9606.228914168163,Phillipsside,0,0,10,10096032.613055341
3616,3,3,2,1994,9046.685456121664,East Summerville,0,0,7,9968113.999313308
2947,1,3,2,1986,4261.374479195169,Lake Michelle,1,1,5,5042769.516460623
3893,3,2,0,1963,3793.454777388261,West Samanthaberg,1,0,7,4715326.868924263
4140,1,2,0,1967,6516.386080807652,North Isaac,1,0,6,7531260.611781674
3165,1,1,2,1956,6506.133597869698,South Brittany,0,0,8,7222798.817298791
1887,1,2,1,2009,1801.2987397292818,New Matthew,1,0,1,2380075.899628929
4130,5,3,0,2007,2938.47111251475,Lake Natashabury,1,1,9,3926738.761067658
4104,1,3,2,2004,6728.199272822236,Port Lesliestad,1,0,10,7728296.657471438
2341,2,1,0,1983,8206.93459552429,New Tony,1,0,7,8790107.482210848
1049,2,1,1,1994,2728.0224696127943,Kyleside,1,1,4,3056643.9493057313
4951,2,2,1,1952,7317.389931160764,Phillipsmouth,0,1,2,8615391.259406753
4560,4,3,1,1989,8834.277282159781,Port Bobby,0,1,7,9904611.87348927
1018,1,1,2,2002,2060.246285888838,Vazquezburgh,0,1,8,2424657.004725423
1725,2,1,2,1980,4951.9305615875055,West Williammouth,0,1,6,5405676.465353621
